"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 6/5/2026 Put $7,295.00","BTO","5","$15.93","($7,969.90)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 6/5/2026 Put $7,310.00","STO","5","$17.53","$8,760.10"
"5/26/2026","5/26/2026","5/27/2026","TE","TE 5/29/2026 Put $6.50","STO","1","$0.05","$4.94"
"5/26/2026","5/26/2026","5/27/2026","HIVE","HIVE Digital Technologies Ltd.
CUSIP: 433921103","Buy","1","$4.29","($4.29)"
"5/26/2026","5/26/2026","5/27/2026","CLSK","CleanSpark
CUSIP: 18452B209","Buy","1","$16.52","($16.52)"
"5/26/2026","5/26/2026","5/27/2026","TE","T1 Energy
CUSIP: 35834F104","Buy","1","$8.52","($8.52)"
"5/22/2026","5/22/2026","5/26/2026","SPXW","Option Expiration for SPXW 5/22/2026 Put $7,170.00","OEXP","5","",""
"5/22/2026","5/22/2026","5/26/2026","SPXW","Option Expiration for SPXW 5/22/2026 Put $7,155.00","OEXP","5S","",""
"5/22/2026","5/22/2026","5/26/2026","SPXW","SPXW 5/29/2026 Put $7,130.00","STC","5","$3.30","$1,645.10"
"5/22/2026","5/22/2026","5/26/2026","SPXW","SPXW 5/29/2026 Put $7,140.00","BTC","5","$3.50","($1,754.90)"
"5/18/2026","5/18/2026","5/19/2026","SPXW","SPXW 5/29/2026 Put $7,130.00","BTO","5","$18.30","($9,154.90)"
"5/18/2026","5/18/2026","5/19/2026","SPXW","SPXW 5/29/2026 Put $7,140.00","STO","5","$19.30","$9,645.10"
"5/15/2026","5/15/2026","5/18/2026","SPX","Option Expiration for SPX 5/15/2026 Put $7,015.00","OEXP","5","",""
"5/15/2026","5/15/2026","5/18/2026","SPX","Option Expiration for SPX 5/15/2026 Put $7,005.00","OEXP","5S","",""
"5/14/2026","5/14/2026","5/15/2026","POET","POET Technologies
CUSIP: 73044W302","Sell","36","$19.61","$705.95"
"5/14/2026","5/14/2026","5/15/2026","POET","POET Technologies
CUSIP: 73044W302","Sell","7","$19.63","$137.41"
"5/14/2026","5/14/2026","5/15/2026","POET","POET Technologies
CUSIP: 73044W302","Sell","7","$19.63","$137.41"
"5/14/2026","5/14/2026","5/14/2026","","Aggregated Margin Rate","MINT","","","($35.91)"
"5/13/2026","5/13/2026","5/13/2026","AAPL","Cash Div: R/D 2026-05-11 P/D 2026-05-14 - 0.027138 shares at 0.27","CDIV","","","$0.01"
"5/13/2026","5/13/2026","5/14/2026","MSFT","MSFT 6/26/2026 Call $340.00","BTO","1","$68.05","($6,805.04)"
